Vessel,Navigator,From,To,Log Type,Log DateTime,Course Psc,Var,Dev,Course True,Speed,Position L/Lo,Weather Notes,Log Entry Notes,ElapsedTime,Distance,Calc Dest,Calc True,Calc Speed,Set,Drift,Eval Basis
Voilactus,Eduardo,Jolly Harbor Antigue,Phillipsburg St Martin,Plan,03/18/2020 06:30:00,190°,15W,5E,200°,6.7kn,L=40°45.6'N Lo=105°14.0'W,,Estimated Arrival Time for Plan Log Entry:03/19/2020 15:28:21,1dy 08:58:21,220.9nm,L=38°35.0'N Lo=109°05.0'W,235°,,,,
Voilactus,Eduardo,Jolly Harbor Antigue,Phillipsburg St Martin,GPS,03/18/2020 12:13:49,345°,15W,1W,329°,6.7kn,L=40°45.6'N Lo=105°13.8'W,no snow today but then again tomorrow it might storm,nothing to comment on but then I could write on and on about nothing,,,,,,,,
Voilactus,Eduardo,Jolly Harbor Antigue,Phillipsburg St Martin,DR,03/18/2020 14:26:01,345°,15W,1W,329°,6.7kn,L=40°45.6'N Lo=105°13.8'W,no snow today but then again tomorrow it might storm,nothing to comment on but then I could write on and on about nothing,02:12:12,0.0 nm,L=40°45.6'N Lo=105°13.8'W,180.0°,0.0kn ,,,Prev Log Entry
Voilactus,Eduardo,Jolly Harbor Antigue,Phillipsburg St Martin,DR,03/18/2020 22:15:00,145°,15W,2E,132°,6.7kn,L=39°38.0'N Lo=105°54.0'W,snow snow let it snow,nothing to comment on,07:48:59,74.4 nm,L=41°49.0'N Lo=105°32.6'W,179.5°,9.5kn ,,,Prev Log Entry
Voilactus,Eduardo,Phillipsburg St Martin,St Barts,DR,03/19/2020 09:13:49,245°,15W,3E,233°,6.7kn,L=39°05.3'N Lo=109°05.0'W,snow snow let it snow,nothing to comment on,10:58:49,151.5 nm,L=37°55.4'N Lo=104°13.2'W,177.5°,13.8kn ,,,Prev Log Entry
Voilactus,Eduardo,Jolly Harbor Antigue,Phillipsburg St Martin,Plan,03/19/2020 15:28:21,225°,15W,5E,235°,6.7kn,L=38°35.0'N Lo=109°05.0'W,,Estimated Arrival Time for Plan Log Entry:03/20/2020 02:02:33,10:34:12,70.8nm,L=38°50.2'N Lo=110°33.5'W,283°,,,,
Voilactus,Eduardo,St Barts,St Kitts,GPS,03/19/2020 22:03:09,245°,15W,4W,226°,5.6kn,L=38°34.5'N Lo=109°04.2'W,snow snow let it snow,nothing to comment on,1dy 09:49:20,220.8 nm,L=43°52.8'N Lo=106°34.5'W,176.9°,6.5kn ,67.2°,271.6kn ,Prev GPS/Fix Entry
Voilactus,Eduardo,St Barts,St Kitts,DR,03/21/2020 12:01:48,245°,0W,0W,245°,5.6kn,L=36°04.5'N Lo=110°17.8'W,,,2dy 02:47:59,190.1 nm,L=37°8.5'N Lo=110°33.2'W,179.0°,3.7kn ,,,Prev Log Entry
Voilactus,Eduardo,St Barts,St Kitts,DR,03/21/2020 18:01:48,245°,0W,0W,245°,5.6kn,L=35°50.2'N Lo=110°33.5'W,,,06:00:00,19.2 nm,L=35°56.4'N Lo=110°26.7'W,179.8°,3.2kn ,,,Prev Log Entry
Voilactus,Eduardo,Jolly Harbor Antigue,Phillipsburg St Martin,Plan,03/21/2020 18:28:21,225°,15W,5E,235°,6.7kn,L=35°50.2'N Lo=110°33.5'W,,Estimated Arrival Time for Plan Log Entry:03/22/2020 21:22:46,1dy 02:54:25,180.3nm,L=38°50.2'N Lo=110°33.5'W,0°,,,,
