Vessel,Navigator,From,To,Log Type,Log DateTime,Course Psc,Var,Dev,Course True,Speed,Position L/Lo,Weather Notes,Log Entry Notes,ElapsedTime,Distance,Calc Dest,Calc True,Calc Speed,Set,Drift,Eval Basis
Ocean Navigator,Harry,Straits Juan de Fuca,Honolulu,Plan,6/25/2004 7:00:00 AM,235°,16E,6E,213°,9kn,L=48°24'N Lo=124°45'W,,Estimated Arrival Time for Plan Log Entry:06/26/2004 11:56:42,1dy 04:56:42,260.5nm,L=44°44'N Lo=128°7'W,213°,,,,Planned Route Entry
Ocean Navigator,Harry,Straits Juan De Fuca,Honolulu,DR,6/25/2004 7:00:01 AM,202°,16E,4W,214°,9kn,L=48°24.0'N Lo=124°45.0'W,,Knot Meter set to 0000.0,,,,,,,,
Ocean Navigator,Harry,Straits Juan De Fuca,Honolulu,DR,6/25/2004 8:00:01 AM,202°,16E,4W,214°,9kn,L=48°16.2'N Lo=124°52.3'W,Northwest winds at 4kn with 4ft seas. ,Knot Meter = 008.9 Report position to captain,01:00:00,9.0 nm,L=48°16.5'N Lo=124°52.6'W,214°,9.0kn ,,,DR from: 6/25/2004 7:00:01 AM
Ocean Navigator,Harry,Straits Juan De Fuca,Honolulu,DR,6/25/2004 12:00:01 PM,202°,16E,4W,214°,9kn,L=47°45.1'N Lo=125°21.7'W,Northwest winds at 4kn with 4ft seas. ,Knot Meter = 0044.5 Report position to captain,04:00:00,36.0 nm,L=47°46.3'N Lo=125°22.3'W,214°,9.0kn ,,,DR from: 6/25/2004 8:00:01 AM
Ocean Navigator,Harry,Straits Juan De Fuca,Honolulu,DR,6/25/2004 1:30:01 PM,202°,16E,0W,218°,9kn,L=47°33.9'N Lo=125°32.9'W,Skies clear still 4 ft seas,settting up for 2 body sun-moon fix sextant shots,01:30:00,13.5 nm,L=47°33.9'N Lo=125°32.9'W,214°,9.0kn ,,,DR from: 6/25/2004 12:00:01 PM
Ocean Navigator,Harry,Straits Juan de Fuca,Honolulu,Plan,6/27/2004 3:18:06 PM,222°,16E,3W,209°,9.0kn,L=40°54.8'N Lo=130°8.27'W,,,23:04:40,207.7nm,L=37°51.9'N Lo=132°14.8'W,209°,,,,Planned Route Entry
Ocean Navigator,Harry,Straits Juan de Fuca,Honolulu,Plan,6/28/2004 2:22:47 PM,252°,16E,3W,239°,9.0kn,L=37°51.9'N Lo=132°14.8'W,,,17:35:37,158.3nm,L=36°29.3'N Lo=135°4.01'W,239°,,,,Planned Route Entry
Ocean Navigator,Harry,Straits Juan de Fuca,Honolulu,Plan,6/29/2004 7:58:25 AM,254°,16E,0E,238°,9.0kn,L=36°29.3'N Lo=135°4.01'W,,,20:55:10,188.3nm,L=34°47.5'N Lo=138°18.5'W,238°,,,,Planned Route Entry
Ocean Navigator,Harry,Straits Juan de Fuca,Honolulu,Plan,6/30/2004 4:53:36 AM,240°,16E,0E,224°,9.0kn,L=34°47.5'N Lo=138°18.5'W,,,17:17:00,155.6nm,L=32°54.8'N Lo=140°27.2'W,224°,,,,Planned Route Entry
Ocean Navigator,Harry,Straits Juan de Fuca,Honolulu,Plan,6/30/2004 10:10:37 PM,236°,16E,1W,221°,9.0kn,L=32°54.8'N Lo=140°27.2'W,,Estimated Arrival Time for Plan Log Entry:07/01/2004 16:39:01,18:28:24,166.3nm,L=30°48.1'N Lo=142°33.5'W,221°,,,,Planned Route Entry
Ocean Navigator,Harry,Straits Juan de Fuca,Honolulu,Plan,7/1/2004 4:39:01 PM,240°,16E,2W,226°,9.0kn,L=30°48.1'N Lo=142°33.5'W,,,18:03:12,162.5nm,L=28°54.1'N Lo=144°46.6'W,226°,,,,Planned Route Entry
Ocean Navigator,Harry,Straits Juan de Fuca,Honolulu,Plan,7/2/2004 10:42:14 AM,240°,16E,1W,225°,9.0kn,L=28°54.1'N Lo=144°46.6'W,,,20:20:01,183.0nm,L=26°42.9'N Lo=147°10.4'W,225°,,,,Planned Route Entry
Ocean Navigator,Harry,Straits Juan de Fuca,Honolulu,Plan,7/3/2004 7:02:15 AM,258°,16E,1W,243°,9.0kn,L=26°42.9'N Lo=147°10.4'W,,,1dy 13:48:07,340.2nm,L=24°2.5'N Lo=152°41.9'W,243°,,,,Planned Route Entry
Ocean Navigator,Harry,Straits Juan de Fuca,Honolulu,Plan,7/4/2004 8:50:23 PM,258°,16E,1E,241°,9.0kn,L=24°2.5'N Lo=152°41.9'W,,Estimated Arrival Time for Plan Log Entry:07/06/2004 09:33:48,1dy 12:43:25,330.5nm,L=21°18'N Lo=157°52'W,241°,,,,Planned Route Entry
