Vessel,Navigator,From,To,Log Type,Log DateTime,Course Psc,Var,Dev,Course True,Speed,Position L/Lo,Weather Notes,Log Entry Notes,ElapsedTime,Distance,Calc Dest,Calc True,Calc Speed,Set,Drift,Eval Basis
V,N,Fr,To,Plan,05/31/2020 06:29:29,260°,0W,0W,260°,10kn,L=40°05.3'N Lo=105°13.8'W,,Entry #1 on generated Great Circle Route. Estimated Arrival Time for Plan Log Entry:05/31/2020 06:29:29,22:29:29,224.9nm,L=39°20.8'N Lo=110°00.0'W,260°,,,,Planned Route Entry
V,N,Fr,To,Plan,06/01/2020 06:39:41,257°,0W,0W,257°,10.0kn,L=39°20.8'N Lo=110°00.0'W,,Entry #2 on generated Great Circle Route. Estimated Arrival Time for Plan Log Entry:06/01/2020 06:39:41,1dy 00:10:12,241.7nm,L=38°20.3'N Lo=115°00.0'W,257°,,,,Planned Route Entry
V,N,Fr,To,Plan,06/02/2020 07:35:54,254°,0W,0W,254°,10.0kn,L=38°20.3'N Lo=115°00.0'W,,Entry #3 on generated Great Circle Route. Estimated Arrival Time for Plan Log Entry:06/02/2020 07:35:54,1dy 00:56:12,249.4nm,L=37°04.9'N Lo=120°00.0'W,254°,,,,Planned Route Entry
V,N,Fr,To,Plan,06/03/2020 09:27:38,251°,0W,0W,251°,10.0kn,L=37°04.9'N Lo=120°00.0'W,,Entry #4 on generated Great Circle Route. Estimated Arrival Time for Plan Log Entry:06/03/2020 09:27:38,1dy 01:51:44,258.6nm,L=35°33.9'N Lo=125°00.0'W,251°,,,,Planned Route Entry
V,N,Fr,To,Plan,06/04/2020 12:24:40,248°,0W,0W,248°,10.0kn,L=35°33.9'N Lo=125°00.0'W,,Entry #5 on generated Great Circle Route. Estimated Arrival Time for Plan Log Entry:06/04/2020 12:24:40,1dy 02:57:01,269.5nm,L=33°46.4'N Lo=130°00.0'W,248°,,,,Planned Route Entry
V,N,Fr,To,Plan,06/05/2020 16:36:09,245°,0W,0W,245°,10.0kn,L=33°46.4'N Lo=130°00.0'W,,Entry #6 on generated Great Circle Route. Estimated Arrival Time for Plan Log Entry:06/05/2020 16:36:09,1dy 04:11:29,281.9nm,L=31°41.6'N Lo=135°00.0'W,245°,,,,Planned Route Entry
V,N,Fr,To,Plan,06/06/2020 22:11:00,242°,0W,0W,242°,10.0kn,L=31°41.6'N Lo=135°00.0'W,,Entry #7 on generated Great Circle Route. Estimated Arrival Time for Plan Log Entry:06/06/2020 22:11:00,1dy 05:34:50,295.8nm,L=29°18.6'N Lo=140°00.0'W,242°,,,,Planned Route Entry
V,N,Fr,To,Plan,06/08/2020 05:15:43,240°,0W,0W,240°,10.0kn,L=29°18.6'N Lo=140°00.0'W,,Entry #8 on generated Great Circle Route. Estimated Arrival Time for Plan Log Entry:06/08/2020 05:15:43,1dy 07:04:43,310.8nm,L=26°37.0'N Lo=145°00.0'W,240°,,,,Planned Route Entry
V,N,Fr,To,Plan,06/09/2020 13:55:56,237°,0W,0W,237°,10.0kn,L=26°37.0'N Lo=145°00.0'W,,Entry #9 on generated Great Circle Route. Estimated Arrival Time for Plan Log Entry:06/09/2020 13:55:56,1dy 08:40:13,326.7nm,L=23°36.3'N Lo=150°00.0'W,237°,,,,Planned Route Entry
V,N,Fr,To,Plan,06/11/2020 00:12:24,235°,0W,0W,235°,10.0kn,L=23°36.3'N Lo=150°00.0'W,,Entry #10 on generated Great Circle Route. Estimated Arrival Time for Plan Log Entry:06/11/2020 00:12:24,1dy 10:16:27,342.7nm,L=20°17.0'N Lo=155°00.0'W,235°,,,,Planned Route Entry
V,N,Fr,To,Plan,06/11/2020 04:05:57,233°,0W,0W,233°,10.0kn,L=20°17.0'N Lo=155°00.0'W,,Entry #11 on generated Great Circle Route. Estimated Arrival Time for Plan Log Entry:06/11/2020 04:05:57,03:53:32,38.9nm,L=19°53.8'N Lo=155°33.2'W,233°,,,,Planned Route Entry
