Vessel,Navigator,From,To,Log Type,Log DateTime,Course Psc,Var,Dev,Course True,Speed,Position L/Lo,Weather Notes,Log Entry Notes,ElapsedTime,Distance,Calc Dest,Calc True,Calc Speed,Set,Drift,Eval Basis
TextVessel,Testnavigator,Denver,Paris using GCR,Plan,05/28/2020 05:09:45,042°,0W,0W,42°,99kn,L=40°05.0'N Lo=105°14.0'W,,Great Circle Route Estimated Arrival Time for Plan Log Entry:05/28/2020 05:09:45,00:09:45,16.1nm,L=40°17.0'N Lo=105°00.0'W,42°,,,,Planned Route Entry
TextVessel,Testnavigator,Denver,Paris using GCR,Plan,05/28/2020 08:25:20,042°,0W,0W,42°,99.0kn,L=40°17.0'N Lo=105°00.0'W,,Great Circle Route Estimated Arrival Time for Plan Log Entry:05/28/2020 08:25:20,03:15:35,322.7nm,L=44°10.6'N Lo=100°00.0'W,42°,,,,Planned Route Entry
TextVessel,Testnavigator,Denver,Paris using GCR,Plan,05/28/2020 11:18:46,045°,0W,0W,45°,99.0kn,L=44°10.6'N Lo=100°00.0'W,,Great Circle Route Estimated Arrival Time for Plan Log Entry:05/28/2020 11:18:46,02:53:25,286.1nm,L=47°25.4'N Lo=95°00.0'W,45°,,,,Planned Route Entry
TextVessel,Testnavigator,Denver,Paris using GCR,Plan,05/28/2020 13:53:47,049°,0W,0W,49°,99.0kn,L=47°25.4'N Lo=95°00.0'W,,Great Circle Route Estimated Arrival Time for Plan Log Entry:05/28/2020 13:53:47,02:35:01,255.8nm,L=50°07.2'N Lo=90°00.0'W,49°,,,,Planned Route Entry
TextVessel,Testnavigator,Denver,Paris using GCR,Plan,05/28/2020 16:13:43,053°,0W,0W,53°,99.0kn,L=50°07.2'N Lo=90°00.0'W,,Great Circle Route Estimated Arrival Time for Plan Log Entry:05/28/2020 16:13:43,02:19:56,230.9nm,L=52°21.0'N Lo=85°00.0'W,53°,,,,Planned Route Entry
TextVessel,Testnavigator,Denver,Paris using GCR,Plan,05/28/2020 18:21:23,057°,0W,0W,57°,99.0kn,L=52°21.0'N Lo=85°00.0'W,,Great Circle Route Estimated Arrival Time for Plan Log Entry:05/28/2020 18:21:23,02:07:40,210.7nm,L=54°10.9'N Lo=80°00.0'W,57°,,,,Planned Route Entry
TextVessel,Testnavigator,Denver,Paris using GCR,Plan,05/28/2020 20:19:16,061°,0W,0W,61°,99.0kn,L=54°10.9'N Lo=80°00.0'W,,Great Circle Route Estimated Arrival Time for Plan Log Entry:05/28/2020 20:19:16,01:57:53,194.5nm,L=55°40.5'N Lo=75°00.0'W,61°,,,,Planned Route Entry
TextVessel,Testnavigator,Denver,Paris using GCR,Plan,05/28/2020 22:09:20,065°,0W,0W,65°,99.0kn,L=55°40.5'N Lo=75°00.0'W,,Great Circle Route Estimated Arrival Time for Plan Log Entry:05/28/2020 22:09:20,01:50:03,181.6nm,L=56°52.3'N Lo=70°00.0'W,65°,,,,Planned Route Entry
TextVessel,Testnavigator,Denver,Paris using GCR,Plan,05/28/2020 23:53:20,069°,0W,0W,69°,99.0kn,L=56°52.3'N Lo=70°00.0'W,,Great Circle Route Estimated Arrival Time for Plan Log Entry:05/28/2020 23:53:20,01:43:59,171.6nm,L=57°48.5'N Lo=65°00.0'W,69°,,,,Planned Route Entry
TextVessel,Testnavigator,Denver,Paris using GCR,Plan,05/29/2020 01:32:43,073°,0W,0W,73°,99.0kn,L=57°48.5'N Lo=65°00.0'W,,Great Circle Route Estimated Arrival Time for Plan Log Entry:05/29/2020 01:32:43,01:39:22,164.0nm,L=58°30.6'N Lo=60°00.0'W,73°,,,,Planned Route Entry
TextVessel,Testnavigator,Denver,Paris using GCR,Plan,05/29/2020 03:08:48,077°,0W,0W,77°,99.0kn,L=58°30.6'N Lo=60°00.0'W,,Great Circle Route Estimated Arrival Time for Plan Log Entry:05/29/2020 03:08:48,01:36:04,158.5nm,L=58°59.8'N Lo=55°00.0'W,77°,,,,Planned Route Entry
TextVessel,Testnavigator,Denver,Paris using GCR,Plan,05/29/2020 04:42:46,081°,0W,0W,81°,99.0kn,L=58°59.8'N Lo=55°00.0'W,,Great Circle Route Estimated Arrival Time for Plan Log Entry:05/29/2020 04:42:46,01:33:57,155.0nm,L=59°17.0'N Lo=50°00.0'W,81°,,,,Planned Route Entry
TextVessel,Testnavigator,Denver,Paris using GCR,Plan,05/29/2020 06:15:41,086°,0W,0W,86°,99.0kn,L=59°17.0'N Lo=50°00.0'W,,Great Circle Route Estimated Arrival Time for Plan Log Entry:05/29/2020 06:15:41,01:32:55,153.3nm,L=59°22.4'N Lo=45°00.0'W,86°,,,,Planned Route Entry
TextVessel,Testnavigator,Denver,Paris using GCR,Plan,05/29/2020 07:48:39,090°,0W,0W,90°,99.0kn,L=59°22.4'N Lo=45°00.0'W,,Great Circle Route Estimated Arrival Time for Plan Log Entry:05/29/2020 07:48:39,01:32:57,153.4nm,L=59°16.4'N Lo=40°00.0'W,90°,,,,Planned Route Entry
TextVessel,Testnavigator,Denver,Paris using GCR,Plan,05/29/2020 09:22:40,094°,0W,0W,94°,99.0kn,L=59°16.4'N Lo=40°00.0'W,,Great Circle Route Estimated Arrival Time for Plan Log Entry:05/29/2020 09:22:40,01:34:01,155.1nm,L=58°58.8'N Lo=35°00.0'W,94°,,,,Planned Route Entry
TextVessel,Testnavigator,Denver,Paris using GCR,Plan,05/29/2020 10:58:54,099°,0W,0W,99°,99.0kn,L=58°58.8'N Lo=35°00.0'W,,Great Circle Route Estimated Arrival Time for Plan Log Entry:05/29/2020 10:58:54,01:36:13,158.8nm,L=58°28.9'N Lo=30°00.0'W,99°,,,,Planned Route Entry
TextVessel,Testnavigator,Denver,Paris using GCR,Plan,05/29/2020 12:38:27,103°,0W,0W,103°,99.0kn,L=58°28.9'N Lo=30°00.0'W,,Great Circle Route Estimated Arrival Time for Plan Log Entry:05/29/2020 12:38:27,01:39:33,164.3nm,L=57°46.2'N Lo=25°00.0'W,103°,,,,Planned Route Entry
TextVessel,Testnavigator,Denver,Paris using GCR,Plan,05/29/2020 14:22:42,107°,0W,0W,107°,99.0kn,L=57°46.2'N Lo=25°00.0'W,,Great Circle Route Estimated Arrival Time for Plan Log Entry:05/29/2020 14:22:42,01:44:14,172.0nm,L=56°49.3'N Lo=20°00.0'W,107°,,,,Planned Route Entry
TextVessel,Testnavigator,Denver,Paris using GCR,Plan,05/29/2020 16:13:04,111°,0W,0W,111°,99.0kn,L=56°49.3'N Lo=20°00.0'W,,Great Circle Route Estimated Arrival Time for Plan Log Entry:05/29/2020 16:13:04,01:50:22,182.1nm,L=55°36.8'N Lo=15°00.0'W,111°,,,,Planned Route Entry
TextVessel,Testnavigator,Denver,Paris using GCR,Plan,05/29/2020 18:11:22,116°,0W,0W,116°,99.0kn,L=55°36.8'N Lo=15°00.0'W,,Great Circle Route Estimated Arrival Time for Plan Log Entry:05/29/2020 18:11:22,01:58:17,195.2nm,L=54°06.3'N Lo=10°00.0'W,116°,,,,Planned Route Entry
TextVessel,Testnavigator,Denver,Paris using GCR,Plan,05/29/2020 20:19:35,120°,0W,0W,120°,99.0kn,L=54°06.3'N Lo=10°00.0'W,,Great Circle Route Estimated Arrival Time for Plan Log Entry:05/29/2020 20:19:35,02:08:12,211.5nm,L=52°15.3'N Lo=5°00.0'W,120°,,,,Planned Route Entry
TextVessel,Testnavigator,Denver,Paris using GCR,Plan,05/29/2020 22:40:07,124°,0W,0W,124°,99.0kn,L=52°15.3'N Lo=5°00.0'W,,Great Circle Route Estimated Arrival Time for Plan Log Entry:05/29/2020 22:40:07,02:20:31,231.9nm,L=50°00.4'N Lo=0°00.0'W,124°,,,,Planned Route Entry
