Vessel,Navigator,From,To,Log Type,Log DateTime,Course Psc,Var,Dev,Course True,Speed,Position L/Lo,Weather Notes,Log Entry Notes,ElapsedTime,Distance,Calc Dest,Calc True,Calc Speed,Set,Drift,Eval Basis
Bounty,Bligh,St Thomas,St Croix,Plan,04/20/2020 06:00:00,162°,0W,0W,162°,7kn,L=18°20.0'N Lo=00°56.6'W,,Estimated Arrival Time for Plan Log Entry:04/20/2020 10:46:48,04:46:48,33.5nm,L=17°48.3'N Lo=0°45.5'W,162°,,,,Planned Route Entry
Bounty,Bligh,St Thomas,St Croix,DR,04/20/2020 07:30:00,162°,0W,1E,163°,7kn,L=18°20.0'N Lo=00°56.6'W,,,,,,,,,,
Bounty,Bligh,St Thomas,St Croix,DR,04/20/2020 08:15:00,162°,0W,1E,163°,7kn,L=18°15.0'N Lo=00°55.4'W,,,00:45:00,5.1 nm,L=18°15.1'N Lo=0°55.4'W,180.0°,6.8kn ,,,DR from: 04/20/2020 07:30:00
Bounty,Bligh,St Thomas,St Croix,DR,04/20/2020 09:15:00,162°,0W,1E,163°,7kn,L=18°08.3'N Lo=00°53.8'W,,,01:00:00,6.9 nm,L=18°8.4'N Lo=0°53.8'W,180.0°,6.9kn ,,,DR from: 04/20/2020 08:15:00
Bounty,Bligh,St Thomas,St Croix,DR,04/20/2020 10:45:00,162°,0W,1E,163°,7kn,L=17°58.3'N Lo=00°51.5'W,,,01:30:00,10.3 nm,L=17°58.5'N Lo=0°51.5'W,180.1°,6.8kn ,,,DR from: 04/20/2020 09:15:00
Bounty,Bligh,St Thomas,St Croix,Plan,04/20/2020 10:46:48,174°,0W,0W,174°,7kn,L=17°48.3'N Lo=00°45.5'W,,Estimated Arrival Time for Plan Log Entry:04/20/2020 11:02:20,00:15:32,1.8nm,L=17°46.5'N Lo=0°45.3'W,174°,,,,Planned Route Entry
Bounty,Bligh,St Thomas,St Croix,DR,04/20/2020 12:15:00,162°,0W,1E,163°,7kn,L=17°48.3'N Lo=00°49.2'W,,,01:30:00,10.3 nm,L=17°48.5'N Lo=0°49.3'W,180.1°,6.8kn ,,,DR from: 04/20/2020 10:45:00
Bounty,Bligh,St Thomas,St Croix,DR,04/20/2020 12:15:00,162°,0W,1E,163°,7kn,L=17°48.3'N Lo=000°45.5'W,,Arrive St Croix,00:00:00,3.5 nm,L=17°44.9'N Lo=0°48.4'W,180.1°,∞kn ,,,DR from: 04/20/2020 12:15:00
Bounty,Bligh,St Croix,St Johns,Plan,04/21/2020 07:00:00,007°,0W,0W,7°,7kn,L=17°46.5'N Lo=00°45.3'W,,Estimated Arrival Time for Plan Log Entry:04/21/2020 11:52:22,04:52:22,34.1nm,L=18°20.3'N Lo=0°40.9'W,7°,,,,Planned Route Entry
Bounty,Bligh,St Johns,Tortolla,Plan,04/22/2020 07:30:00,168°,0W,0W,168°,7kn,L=18°20.3'N Lo=00°40.9'W,,Estimated Arrival Time for Plan Log Entry:04/22/2020 07:45:47,00:15:47,1.8nm,L=18°18.5'N Lo=0°40.5'W,168°,,,,Planned Route Entry
Bounty,Bligh,St Johns,Tortolla,Plan,04/22/2020 07:45:47,047°,0W,0W,47°,7kn,L=18°18.5'N Lo=00°40.5'W,,Estimated Arrival Time for Plan Log Entry:04/22/2020 08:36:01,00:50:14,5.9nm,L=18°22.5'N Lo=0°36.0'W,47°,,,,Planned Route Entry
Bounty,Bligh,St Johns,Tortolla,Plan,04/22/2020 08:36:01,026°,0W,0W,26°,7kn,L=18°22.5'N Lo=00°36.0'W,,Estimated Arrival Time for Plan Log Entry:04/22/2020 09:28:27,00:52:26,6.1nm,L=18°28.0'N Lo=0°33.2'W,26°,,,,Planned Route Entry
Bounty,Bligh,St Johns,Tortolla,Plan,04/22/2020 08:36:01,265°,0W,0W,265°,7kn,L=18°28.0'N Lo=00°33.2'W,,Estimated Arrival Time for Plan Log Entry:04/22/2020 09:15:15,00:39:14,4.6nm,L=18°27.6'N Lo=0°38.0'W,265°,,,,Planned Route Entry
Bounty,Bligh,St Johns,Tortolla,Plan,04/22/2020 08:36:01,238°,0W,0W,238°,7kn,L=18°27.6'N Lo=0°38.0'W,,Estimated Arrival Time for Plan Log Entry:04/22/2020 08:47:29,00:11:28,1.3nm,L=18°26.9'N Lo=0°39.2'W,238°,,,,Planned Route Entry
