Date,Eqn of Time,Declination
1/1/2004,-3.06667,-23.07167
1/2/2004,-3.53333,-22.99167
1/3/2004,-4.00000,-22.90500
1/4/2004,-4.46667,-22.81000
1/5/2004,-4.91667,-22.70833
1/6/2004,-5.36667,-22.59833
1/7/2004,-5.81667,-22.48000
1/8/2004,-6.25000,-22.35667
1/9/2004,-6.66667,-22.22333
1/10/2004,-7.08333,-22.08500
1/11/2004,-7.50000,-21.93833
1/12/2004,-7.88333,-21.78500
1/13/2004,-8.28333,-21.62500
1/14/2004,-8.65000,-21.45667
1/15/2004,-9.03333,-21.28167
1/16/2004,-9.38333,-21.10000
1/17/2004,-9.73333,-20.91333
1/18/2004,-10.06667,-20.71833
1/19/2004,-10.38333,-20.51667
1/20/2004,-10.70000,-20.30833
1/21/2004,-11.00000,-20.09500
1/22/2004,-11.28333,-19.87333
1/23/2004,-11.56667,-19.64667
1/24/2004,-11.83333,-19.41500
1/25/2004,-12.08333,-19.17667
1/26/2004,-12.31667,-18.93167
1/27/2004,-12.53333,-18.68167
1/28/2004,-12.75000,-18.42500
1/29/2004,-12.93333,-18.16333
1/30/2004,-13.11667,-17.89667
1/31/2004,-13.28333,-17.62333
2/1/2004,-13.43333,-17.34667
2/2/2004,-13.58333,-17.06333
2/3/2004,-13.70000,-16.77667
2/4/2004,-13.81667,-16.48333
2/5/2004,-13.91667,-16.18667
2/6/2004,-14.00000,-15.88500
2/7/2004,-14.06667,-15.57833
2/8/2004,-14.13333,-15.26833
2/9/2004,-14.16667,-14.95333
2/10/2004,-14.20000,-14.63333
2/11/2004,-14.21667,-14.31000
2/12/2004,-14.23333,-13.98333
2/13/2004,-14.21667,-13.65167
2/14/2004,-14.20000,-13.31667
2/15/2004,-14.16667,-12.97667
2/16/2004,-14.13333,-12.63500
2/17/2004,-14.06667,-12.29000
2/18/2004,-14.00000,-11.94000
2/19/2004,-13.93333,-11.58833
2/20/2004,-13.83333,-11.23333
2/21/2004,-13.73333,-10.87500
2/22/2004,-13.63333,-10.51333
2/23/2004,-13.50000,-10.15000
2/24/2004,-13.38333,-9.78333
2/25/2004,-13.23333,-9.41500
2/26/2004,-13.08333,-9.04500
2/27/2004,-12.91667,-8.67167
2/28/2004,-12.75000,-8.29500
2/29/2004,-12.56667,-7.91833
3/1/2004,-12.36667,-7.53833
3/2/2004,-12.16667,-7.15833
3/3/2004,-11.96667,-6.77500
3/4/2004,-11.75000,-6.39000
3/5/2004,-11.53333,-6.00500
3/6/2004,-11.30000,-5.61833
3/7/2004,-11.06667,-5.23000
3/8/2004,-10.81667,-4.84000
3/9/2004,-10.56667,-4.45000
3/10/2004,-10.31667,-4.05833
3/11/2004,-10.05000,-3.66500
3/12/2004,-9.78333,-3.27167
3/13/2004,-9.51667,-2.87833
3/14/2004,-9.23333,-2.48500
3/15/2004,-8.96667,-2.09000
3/16/2004,-8.68333,-1.69500
3/17/2004,-8.38333,-1.29833
