Num,DateTime,Body,Limb,DST,WE,WEtype,ZD,Hs,HorType,HorDist,Apprx Brg,HEye,IC,ICType,Lat,Long,LLoBy,Int,Az,SLEP,Name,Squadron,Remarks
1,06/17/2020 05:00:22,Moon,Lower,X,0000,Fast,Auto,17°49.6',Dip Short,1 Statute Mile,S,10 ft,00°1.9',Off,40°04.9'N,105°13.5'W,GPS,0.9 nm Toward,90°,EP L 40°04.9'N   EP Lo 105°12.3'W,Harry,Sight Folder Bldr Res AM,
2,06/17/2020 05:03:25,Moon,Lower,X,0000,Fast,Auto,18°21.5',Dip Short,1 Statute Mile,S,10 ft,00°1.9',Off,40°04.9'N,105°13.5'W,GPS,1.7 nm Away,90°,EP L 40°04.9'N   EP Lo 105°15.7'W,Harry,Sight Folder Bldr Res AM,
3,06/17/2020 05:08:34,Moon,Lower,X,0000,Fast,Auto,19°21.4',Dip Short,1 Statute Mile,S,10 ft,00°1.9',Off,40°04.9'N,105°13.5'W,GPS,0.2 nm Toward,91°,EP L 40°04.9'N   EP Lo 105°13.2'W,Harry,Sight Folder Bldr Res AM,
4,06/17/2020 05:15:45,Mars,Lower,X,0000,Fast,Auto,39°16.4',Dip Short,1 Statute Mile,S,10 ft,00°1.9',Off,40°04.9'N,105°13.5'W,GPS,0.7 nm Toward,147°,EP L 40°04.3'N   EP Lo 105°13.0'W,Harry,Sight Folder Bldr Res AM,
5,06/17/2020 05:17:21,Mars,Lower,X,0000,Fast,Auto,39°26.6',Dip Short,1 Statute Mile,S,10 ft,00°1.9',Off,40°04.9'N,105°13.5'W,GPS,1 nm Toward,147°,EP L 40°04.1'N   EP Lo 105°12.8'W,Harry,Sight Folder Bldr Res AM,
6,06/17/2020 05:22:11,Mars,Lower,X,0000,Fast,Auto,39°55.6',Dip Short,1 Statute Mile,S,10 ft,00°1.9',Off,40°04.9'N,105°13.5'W,GPS,0.6 nm Toward,149°,EP L 40°04.4'N   EP Lo 105°13.1'W,Harry,Sight Folder Bldr Res AM,
7,06/20/2020 12:50:22,Sun,Lower,X,0000,Slow,Auto,73°3.8',Dip Short,1 Statute Mile,SE,11 ft,00°1.9',On,40°05.2'N,105°13.2'W,GPS,1 nm Toward,170°,EP L 40°04.2'N   EP Lo 105°13.0'W,Test sight log 0421,ABC-C,
8,06/20/2020 12:54:13,Sun,Lower,X,0000,Slow,Auto,73°10.6',Dip Short,1 Statute Mile,SE,11 ft,00°1.9',On,40°05.2'N,105°13.2'W,GPS,1.4 nm Toward,173°,EP L 40°03.8'N   EP Lo 105°13.0'W,Test sight log 0421,ABC-C,
9,06/20/2020 13:01:20,Sun,Lower,X,0000,Slow,Auto,73°13.0',Dip Short,1 Statute Mile,SE,11 ft,00°1.9',On,40°05.2'N,105°13.2'W,GPS,1.7 nm Away,179°,EP L 40°06.9'N   EP Lo 105°13.2'W,Test sight log 0421,ABC-C,
10,06/20/2020 13:02:34,Sun,Lower,X,0000,Slow,Auto,73°13.2',Dip Short,1 Statute Mile,SE,11 ft,00°1.9',On,40°05.2'N,105°13.2'W,GPS,1.6 nm Away,180°,EP L 40°06.8'N   EP Lo 105°13.2'W,Test sight log 0421,ABC-C,
